rank,feature,importance,note
1,fatigue_level,0.102526,
2,duration_minutes,0.081017,
3,noise_level,0.0751,
4,mood_stress,0.074914,
5,phone_distraction,0.07195,
6,move_count,0.067812,
7,light_level,0.064604,
8,task_type_other,0.056193,
9,max_acceleration,0.04773,
10,task_type_coding,0.04476,
11,task_type_coursework,0.03927,
12,time_period_morning,0.033123,
13,still_ratio,0.030658,
14,time_period_afternoon,0.029666,
15,shake_count,0.027743,
16,location_classroom,0.027722,
17,avg_acceleration,0.026833,
18,goal_clarity,0.0213,
19,task_type_exam_review,0.020845,
20,time_period_evening,0.016805,
21,location_library,0.014461,
22,location_other,0.011247,
23,location_dormitory,0.00694,
24,motion_available,0.006782,
